family,display_name,experiment,model,variant,lag_method,tracking_backend,device,domain,scenario,seed,target_column,feature_bundle,seq_feature_names,proxy_feature_names,static_feature_names,source_path,stats_end_year,year_start,year_end,train_end_year,val_end_year,train_year_start,train_year_end,val_year_start,val_year_end,test_year_start,test_year_end,n_entities,full_seq_length,max_lag,d_model,seq_features,n_proxies,static_dim,lambda_r,effective_lambda_r,temperature,lag_bias_strength,lstm_layers,dropout,noise_std,best_epoch,best_val_task_loss,proxy_refit_status,proxy_refit_applied,proxy_metric_interpretable,proxy_refit_reason,proxy_design_rank,proxy_design_columns,proxy_latent_std,proxy_target_std,run_dir,output_root,train_total_loss,train_task_loss,train_recon_loss,train_mse,train_mae,train_r2,train_proxy_recon_r2,train_proxy_metric_valid,train_kstar_proxy_spearman_rho,train_kstar_proxy_spearman_p,train_kstar_mean,train_kstar_std,train_kstar_proxy_metric_valid,train_omega_entropy_mean,train_proxy_signal_r2,train_proxy_signal_metric_valid,train_effective_kstar_proxy_spearman_rho,train_effective_kstar_proxy_spearman_p,train_effective_kstar_mean,train_effective_kstar_std,train_effective_lag_entropy_mean,train_effective_kstar_proxy_metric_valid,val_total_loss,val_task_loss,val_recon_loss,val_mse,val_mae,val_r2,val_proxy_recon_r2,val_proxy_metric_valid,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_mean,val_kstar_std,val_kstar_proxy_metric_valid,val_omega_entropy_mean,val_proxy_signal_r2,val_proxy_signal_metric_valid,val_effective_kstar_proxy_spearman_rho,val_effective_kstar_proxy_spearman_p,val_effective_kstar_mean,val_effective_kstar_std,val_effective_lag_entropy_mean,val_effective_kstar_proxy_metric_valid,test_total_loss,test_task_loss,test_recon_loss,test_mse,test_mae,test_r2,test_proxy_recon_r2,test_proxy_metric_valid,test_kstar_proxy_spearman_rho,test_kstar_proxy_spearman_p,test_kstar_mean,test_kstar_std,test_kstar_proxy_metric_valid,test_omega_entropy_mean,test_proxy_signal_r2,test_proxy_signal_metric_valid,test_effective_kstar_proxy_spearman_rho,test_effective_kstar_proxy_spearman_p,test_effective_kstar_mean,test_effective_kstar_std,test_effective_lag_entropy_mean,test_effective_kstar_proxy_metric_valid,train_posthoc_kstar_proxy_spearman_rho,train_posthoc_kstar_proxy_spearman_p,train_posthoc_kstar_mean,train_posthoc_kstar_std,train_lag_profile_entropy_mean,val_posthoc_kstar_proxy_spearman_rho,val_posthoc_kstar_proxy_spearman_p,val_posthoc_kstar_mean,val_posthoc_kstar_std,val_lag_profile_entropy_mean,test_posthoc_kstar_proxy_spearman_rho,test_posthoc_kstar_proxy_spearman_p,test_posthoc_kstar_mean,test_posthoc_kstar_std,test_lag_profile_entropy_mean
ablation,No AC Encoder,formal_mechanism_ablation_no_ac_encoder_seed0,cmdl_ablation,no_ac_encoder,learned_omega,json,cpu,economics,linear,0,ctfp,growth_aware,"x_cap_deepening,x_log_rgdpna_growth,x_log_ck_growth","proxy_hc_level,proxy_hc_trend","static_log_rgdpna,static_log_ck",C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long_v2.csv,2007,1980,2023,2007,2013,1980,2007,1998,2013,2004,2023,105,44,10,64,3,2,2,0.1,0.0,1.0,1.0,2,0.05,0.1,20,2.661245107650757,skipped_rank_deficient,False,False,rank_deficient_design,1.0,2.0,0.0,0.9999999911838968,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_mechanism_ctfp_growth_aware\ablation\formal_mechanism_ablation_no_ac_encoder_seed0,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_mechanism_ctfp_growth_aware\ablation,0.41268327832221985,0.41268327832221985,1.4155492782592773,0.4126832548553069,0.4777546371265854,0.49069818785747404,,0.0,,,4.361078262329102,0.0,0.0,1.9350333213806152,,False,,,4.361078262329102,0.0,1.9350333213806152,False,2.661245107650757,2.661245107650757,1.4155492782592773,2.661244680291075,1.2724606373820395,0.0362896345722605,,0.0,,,4.361078262329102,0.0,0.0,1.9350333213806152,,False,,,4.361078262329102,0.0,1.9350333213806152,False,4.057062149047852,4.057062149047852,1.4155492782592773,4.057061606572949,1.532273733701482,0.02262027153961684,,0.0,,,4.361078262329102,0.0,0.0,1.9350333213806152,,False,,,4.361078262329102,0.0,1.9350333213806152,False,,,,,,,,,,,,,,,
ablation,No AC Encoder,formal_mechanism_ablation_no_ac_encoder_seed1,cmdl_ablation,no_ac_encoder,learned_omega,json,cpu,economics,linear,1,ctfp,growth_aware,"x_cap_deepening,x_log_rgdpna_growth,x_log_ck_growth","proxy_hc_level,proxy_hc_trend","static_log_rgdpna,static_log_ck",C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long_v2.csv,2007,1980,2023,2007,2013,1980,2007,1998,2013,2004,2023,105,44,10,64,3,2,2,0.1,0.0,1.0,1.0,2,0.05,0.1,13,2.633192539215088,skipped_rank_deficient,False,False,rank_deficient_design,1.0,2.0,0.0,0.9999999911838968,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_mechanism_ctfp_growth_aware\ablation\formal_mechanism_ablation_no_ac_encoder_seed1,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_mechanism_ctfp_growth_aware\ablation,0.5234931707382202,0.5234931707382202,1.0429787635803223,0.5234931210616954,0.5565146990064052,0.3370969914344444,,0.0,0.0,1.0,3.987114667892456,2.384185791015625e-07,1.0,1.6690101623535156,,False,0.0,1.0,3.987114667892456,2.384185791015625e-07,1.6690101623535156,True,2.633192539215088,2.633192539215088,1.0429787635803223,2.6331924366023856,1.2282742816481798,0.061706597826183505,,0.0,0.0,1.0,3.987114667892456,2.384185791015625e-07,1.0,1.6690101623535156,,False,0.0,1.0,3.987114667892456,2.384185791015625e-07,1.6690101623535156,True,4.083776950836182,4.083776950836182,1.0429787635803223,4.083776656754829,1.5333007643376393,0.01524523872410537,,0.0,0.0,1.0,3.987114667892456,2.384185791015625e-07,1.0,1.6690101623535156,,False,0.0,1.0,3.987114667892456,2.384185791015625e-07,1.6690101623535156,True,,,,,,,,,,,,,,,
ablation,No AC Encoder,formal_mechanism_ablation_no_ac_encoder_seed2,cmdl_ablation,no_ac_encoder,learned_omega,json,cpu,economics,linear,2,ctfp,growth_aware,"x_cap_deepening,x_log_rgdpna_growth,x_log_ck_growth","proxy_hc_level,proxy_hc_trend","static_log_rgdpna,static_log_ck",C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long_v2.csv,2007,1980,2023,2007,2013,1980,2007,1998,2013,2004,2023,105,44,10,64,3,2,2,0.1,0.0,1.0,1.0,2,0.05,0.1,8,2.8300187587738037,skipped_rank_deficient,False,False,rank_deficient_design,1.0,2.0,0.0,0.9999999911838968,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_mechanism_ctfp_growth_aware\ablation\formal_mechanism_ablation_no_ac_encoder_seed2,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_mechanism_ctfp_growth_aware\ablation,0.6390846967697144,0.6390846967697144,1.0396925210952759,0.6390846511687458,0.6210252107498322,0.20008215979860353,,0.0,0.0,1.0,5.733548641204834,9.502622333457111e-07,1.0,1.7559739351272583,,False,0.0,1.0,5.733548641204834,9.502622333457111e-07,1.7559739351272583,True,2.8300187587738037,2.8300187587738037,1.0396925210952759,2.8300189688616157,1.2583620520456442,0.01080581398765057,,0.0,0.0,1.0,5.733548641204834,9.502622333457111e-07,1.0,1.7559739351272583,,False,0.0,1.0,5.733548641204834,9.502622333457111e-07,1.7559739351272583,True,4.304729461669922,4.304729461669922,1.0396925210952759,4.304729207459433,1.5671122295130182,-0.03778643097917593,,0.0,0.0,1.0,5.733548641204834,9.502622333457111e-07,1.0,1.7559739351272583,,False,0.0,1.0,5.733548641204834,9.502622333457111e-07,1.7559739351272583,True,,,,,,,,,,,,,,,
ablation,No Recon Regularization,formal_mechanism_ablation_no_recon_regularization_seed0,cmdl_ablation,no_recon_regularization,learned_omega,json,cpu,economics,linear,0,ctfp,growth_aware,"x_cap_deepening,x_log_rgdpna_growth,x_log_ck_growth","proxy_hc_level,proxy_hc_trend","static_log_rgdpna,static_log_ck",C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long_v2.csv,2007,1980,2023,2007,2013,1980,2007,1998,2013,2004,2023,105,44,10,64,3,2,2,0.1,0.0,1.0,1.0,2,0.05,0.1,21,2.650038957595825,applied_ols,True,True,,2.0,2.0,0.22632781894835857,0.9999999911838968,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_mechanism_ctfp_growth_aware\ablation\formal_mechanism_ablation_no_recon_regularization_seed0,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_mechanism_ctfp_growth_aware\ablation,0.40008553862571716,0.40008553862571716,0.531885027885437,0.4000855392180031,0.4686063361611949,0.5058605651633553,0.468114921232252,1.0,-0.9688471905453037,2.9851592543052798e-64,4.584847450256348,0.22999906539916992,1.0,1.961716890335083,0.468114921232252,True,-0.9688471905453037,2.9851592543052798e-64,4.584847450256348,0.22999906539916992,1.961716890335083,True,2.650038957595825,2.650038957595825,0.531885027885437,2.650038794666402,1.270618383679539,0.04118249753184137,0.468114921232252,1.0,-0.9688471905453037,2.9851592543052798e-64,4.584847450256348,0.22999906539916992,1.0,1.961716890335083,0.468114921232252,True,-0.9688471905453037,2.9851592543052798e-64,4.584847450256348,0.22999906539916992,1.961716890335083,True,4.038981914520264,4.038981914520264,0.531885027885437,4.038982215264905,1.5310194802608126,0.026887128145476048,0.468114921232252,1.0,-0.9688471905453037,2.9851592543052798e-64,4.584847450256348,0.22999906539916992,1.0,1.961716890335083,0.468114921232252,True,-0.9688471905453037,2.9851592543052798e-64,4.584847450256348,0.22999906539916992,1.961716890335083,True,,,,,,,,,,,,,,,
ablation,No Recon Regularization,formal_mechanism_ablation_no_recon_regularization_seed1,cmdl_ablation,no_recon_regularization,learned_omega,json,cpu,economics,linear,1,ctfp,growth_aware,"x_cap_deepening,x_log_rgdpna_growth,x_log_ck_growth","proxy_hc_level,proxy_hc_trend","static_log_rgdpna,static_log_ck",C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long_v2.csv,2007,1980,2023,2007,2013,1980,2007,1998,2013,2004,2023,105,44,10,64,3,2,2,0.1,0.0,1.0,1.0,2,0.05,0.1,13,2.6303722858428955,applied_ols,True,True,,2.0,2.0,0.08594331426985062,0.9999999911838968,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_mechanism_ctfp_growth_aware\ablation\formal_mechanism_ablation_no_recon_regularization_seed1,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_mechanism_ctfp_growth_aware\ablation,0.5222541093826294,0.5222541093826294,0.5881359577178955,0.5222541203442619,0.5558452177637875,0.3385013090236353,0.4118640174281091,1.0,-0.8614555256064689,4.436751053521661e-32,4.001608848571777,0.0550990030169487,1.0,1.6754635572433472,0.4118640174281091,True,-0.8614555256064689,4.436751053521661e-32,4.001608848571777,0.0550990030169487,1.6754635572433472,True,2.6303722858428955,2.6303722858428955,0.5881359577178955,2.6303722112616943,1.2278327049007491,0.06276269375955636,0.4118640174281091,1.0,-0.8614555256064689,4.436751053521661e-32,4.001608848571777,0.0550990030169487,1.0,1.6754635572433472,0.4118640174281091,True,-0.8614555256064689,4.436751053521661e-32,4.001608848571777,0.0550990030169487,1.6754635572433472,True,4.083345413208008,4.083345413208008,0.5881359577178955,4.0833456827718795,1.533090761002788,0.015363247962845827,0.4118640174281091,1.0,-0.8614555256064689,4.436751053521661e-32,4.001608848571777,0.0550990030169487,1.0,1.6754635572433472,0.4118640174281091,True,-0.8614555256064689,4.436751053521661e-32,4.001608848571777,0.0550990030169487,1.6754635572433472,True,,,,,,,,,,,,,,,
ablation,No Recon Regularization,formal_mechanism_ablation_no_recon_regularization_seed2,cmdl_ablation,no_recon_regularization,learned_omega,json,cpu,economics,linear,2,ctfp,growth_aware,"x_cap_deepening,x_log_rgdpna_growth,x_log_ck_growth","proxy_hc_level,proxy_hc_trend","static_log_rgdpna,static_log_ck",C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long_v2.csv,2007,1980,2023,2007,2013,1980,2007,1998,2013,2004,2023,105,44,10,64,3,2,2,0.1,0.0,1.0,1.0,2,0.05,0.1,25,2.803929090499878,applied_ols,True,True,,2.0,2.0,0.26245012152033825,0.9999999911838968,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_mechanism_ctfp_growth_aware\ablation\formal_mechanism_ablation_no_recon_regularization_seed2,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_mechanism_ctfp_growth_aware\ablation,0.3920595645904541,0.3920595645904541,0.5882247686386108,0.39205956001642106,0.462886401848275,0.5109622291393852,0.4117751975234818,1.0,-0.8391561268919759,5.328370795548838e-29,4.8287224769592285,0.3814880847930908,1.0,1.7661736011505127,0.4117751975234818,True,-0.8391561268919759,5.328370795548838e-29,4.8287224769592285,0.3814880847930908,1.7661736011505127,True,2.803929090499878,2.803929090499878,0.5882247686386108,2.8039290034983306,1.2831673815994271,-0.016008789797605266,0.4117751975234818,1.0,-0.8391561268919759,5.328370795548838e-29,4.8287224769592285,0.3814880847930908,1.0,1.7661736011505127,0.4117751975234818,True,-0.8391561268919759,5.328370795548838e-29,4.8287224769592285,0.3814880847930908,1.7661736011505127,True,4.254809379577637,4.254809379577637,0.5882247686386108,4.2548091201741505,1.5586869932094816,-0.02687193373532084,0.4117751975234818,1.0,-0.8391561268919759,5.328370795548838e-29,4.8287224769592285,0.3814880847930908,1.0,1.7661736011505127,0.4117751975234818,True,-0.8391561268919759,5.328370795548838e-29,4.8287224769592285,0.3814880847930908,1.7661736011505127,True,,,,,,,,,,,,,,,
ablation,Uniform Lag,formal_mechanism_ablation_uniform_lag_seed0,cmdl_ablation,uniform_lag,learned_omega,json,cpu,economics,linear,0,ctfp,growth_aware,"x_cap_deepening,x_log_rgdpna_growth,x_log_ck_growth","proxy_hc_level,proxy_hc_trend","static_log_rgdpna,static_log_ck",C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long_v2.csv,2007,1980,2023,2007,2013,1980,2007,1998,2013,2004,2023,105,44,10,64,3,2,2,0.1,0.1,1.0,1.0,2,0.05,0.1,25,2.5968666076660156,applied_ols,True,True,,2.0,2.0,0.2963138252269757,0.9999999911838968,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_mechanism_ctfp_growth_aware\ablation\formal_mechanism_ablation_uniform_lag_seed0,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_mechanism_ctfp_growth_aware\ablation,0.41299542784690857,0.35462167859077454,0.5837373733520508,0.3546217021225115,0.4311265384550169,0.5625210386922238,0.41626261515090546,1.0,,,5.5,0.0,0.0,2.3025853633880615,0.41626261515090546,True,,,5.5,0.0,2.3025853633880615,False,2.655240297317505,2.5968666076660156,0.5837373733520508,2.5968665920780367,1.255487068427638,0.06634120866278154,0.41626261515090546,1.0,,,5.5,0.0,0.0,2.3025853633880615,0.41626261515090546,True,,,5.5,0.0,2.3025853633880615,False,3.9393322467803955,3.8809585571289062,0.5837373733520508,3.880958455483042,1.511099555503502,0.0635695649451171,0.41626261515090546,1.0,,,5.5,0.0,0.0,2.3025853633880615,0.41626261515090546,True,,,5.5,0.0,2.3025853633880615,False,,,,,,,,,,,,,,,
ablation,Uniform Lag,formal_mechanism_ablation_uniform_lag_seed1,cmdl_ablation,uniform_lag,learned_omega,json,cpu,economics,linear,1,ctfp,growth_aware,"x_cap_deepening,x_log_rgdpna_growth,x_log_ck_growth","proxy_hc_level,proxy_hc_trend","static_log_rgdpna,static_log_ck",C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long_v2.csv,2007,1980,2023,2007,2013,1980,2007,1998,2013,2004,2023,105,44,10,64,3,2,2,0.1,0.1,1.0,1.0,2,0.05,0.1,13,2.6754817962646484,applied_ols,True,True,,2.0,2.0,0.09680861432648714,0.9999999911838968,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_mechanism_ctfp_growth_aware\ablation\formal_mechanism_ablation_uniform_lag_seed1,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_mechanism_ctfp_growth_aware\ablation,0.5908056497573853,0.5347402691841125,0.560653567314148,0.5347403069716048,0.5634498622805242,0.3247256242192026,0.4393464162833783,1.0,,,5.5,0.0,0.0,2.3025853633880615,0.4393464162833783,True,,,5.5,0.0,2.3025853633880615,False,2.7315471172332764,2.6754817962646484,0.560653567314148,2.6754820429426927,1.2290724051643223,0.049964471830219015,0.4393464162833783,1.0,,,5.5,0.0,0.0,2.3025853633880615,0.4393464162833783,True,,,5.5,0.0,2.3025853633880615,False,4.108796119689941,4.052730560302734,0.560653567314148,4.052730750394775,1.5199171692705187,0.022649156400067073,0.4393464162833783,1.0,,,5.5,0.0,0.0,2.3025853633880615,0.4393464162833783,True,,,5.5,0.0,2.3025853633880615,False,,,,,,,,,,,,,,,
ablation,Uniform Lag,formal_mechanism_ablation_uniform_lag_seed2,cmdl_ablation,uniform_lag,learned_omega,json,cpu,economics,linear,2,ctfp,growth_aware,"x_cap_deepening,x_log_rgdpna_growth,x_log_ck_growth","proxy_hc_level,proxy_hc_trend","static_log_rgdpna,static_log_ck",C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long_v2.csv,2007,1980,2023,2007,2013,1980,2007,1998,2013,2004,2023,105,44,10,64,3,2,2,0.1,0.1,1.0,1.0,2,0.05,0.1,29,2.7208516597747803,applied_ols,True,True,,2.0,2.0,0.3342969086039409,0.9999999911838968,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_mechanism_ctfp_growth_aware\ablation\formal_mechanism_ablation_uniform_lag_seed2,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_mechanism_ctfp_growth_aware\ablation,0.39960023760795593,0.3417544364929199,0.5784581303596497,0.3417544351795829,0.42301115254183524,0.5754638180001093,0.42154187028054,1.0,,,5.5,0.0,0.0,2.3025853633880615,0.42154187028054,True,,,5.5,0.0,2.3025853633880615,False,2.7786974906921387,2.7208516597747803,0.5784581303596497,2.7208517827001195,1.275484172541589,0.0025665822104377436,0.42154187028054,1.0,,,5.5,0.0,0.0,2.3025853633880615,0.42154187028054,True,,,5.5,0.0,2.3025853633880615,False,4.071997165679932,4.014151573181152,0.5784581303596497,4.01415164450511,1.533743374621332,0.03123658379051868,0.42154187028054,1.0,,,5.5,0.0,0.0,2.3025853633880615,0.42154187028054,True,,,5.5,0.0,2.3025853633880615,False,,,,,,,,,,,,,,,
cmdl,CMDL,formal_mechanism_cmdl_seed0,cmdl,,learned_omega,json,cpu,economics,linear,0,ctfp,growth_aware,"x_cap_deepening,x_log_rgdpna_growth,x_log_ck_growth","proxy_hc_level,proxy_hc_trend","static_log_rgdpna,static_log_ck",C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long_v2.csv,2007,1980,2023,2007,2013,1980,2007,1998,2013,2004,2023,105,44,10,64,3,2,2,0.1,0.1,1.0,1.0,2,0.05,0.1,25,2.6320555210113525,applied_ols,True,True,,2.0,2.0,0.06868897860530622,0.9999999911838968,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_mechanism_ctfp_growth_aware\cmdl\formal_mechanism_cmdl_seed0,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\formal_mechanism_ctfp_growth_aware\cmdl,0.4377455711364746,0.3656969964504242,0.7204855680465698,0.36569695896829096,0.4469974767587027,0.538520041215182,0.27951437269735785,1.0,-0.5462367820858387,1.6682679082138588e-09,4.061123371124268,0.08326523751020432,1.0,1.8764684200286865,0.27951437269735785,True,-0.5462367820858387,1.6682679082138588e-09,4.061123371124268,0.08326523751020432,1.8764684200286865,True,2.70410418510437,2.6320555210113525,0.7204855680465698,2.6320553011494567,1.2425829633331251,0.04143369039489551,0.27951437269735785,1.0,-0.5462367820858387,1.6682679082138588e-09,4.061123371124268,0.08326523751020432,1.0,1.8764684200286865,0.27951437269735785,True,-0.5462367820858387,1.6682679082138588e-09,4.061123371124268,0.08326523751020432,1.8764684200286865,True,4.0444016456604,3.972352981567383,0.7204855680465698,3.9723531387536126,1.5150380046572676,0.04228997976016073,0.27951437269735785,1.0,-0.5462367820858387,1.6682679082138588e-09,4.061123371124268,0.08326523751020432,1.0,1.8764684200286865,0.27951437269735785,True,-0.5462367820858387,1.6682679082138588e-09,4.061123371124268,0.08326523751020432,1.8764684200286865,True,,,,,,,,,,,,,,,
