experiment,scenario,model,ablation,feature_bundle,seed,max_lag,seq_features,best_epoch,year_start,year_end,stats_end_year,train_end_year,val_end_year,missing_policy,train_years,val_years,test_years,train_effective_samples,val_effective_samples,test_effective_samples,proxy_mode,proxy_construction_fit_window,proxy_construction_uses_target_column,proxy_construction_description,proxy_static_cross_section_degenerate,target_entity_mean_degenerate,zero_variance_proxy_static_columns,summary_path,test_mse,test_mae,test_r2,test_r2_delta_vs_train_mean,test_r2_delta_vs_entity_mean,test_r2_delta_vs_persistence,test_r2_delta_vs_panel_ols,test_r2_delta_vs_grouped_ardl,test_kstar_mean,test_kstar_std,test_kstar_proxy_spearman_adjusted_rho,test_kstar_proxy_mean_spearman_adjusted_rho,test_lag_gate_sensitivity_range,test_omega_entropy_mean,test_omega_top1_share,test_proxy_recon_r2,test_proxy_anchor_recon_r2,test_baseline_grouped_ardl_r2,test_baseline_grouped_ardl_effective_lag_mean,matrix_name,variant_id,track,matrix_scenario,interpretation,run_spec,matrix_output_dir,run_dir,proxy_perturbation,d_model,dropout,temperature,lambda_omega_entropy,omega_entropy_min,omega_entropy_max,evidence_scope,sequence_transform,run_group
falsification_noise_proxy_fullspan_k3_cmdl_seed0,fullspan_region_proxy,cmdl,none,single_fullspan_region_proxy,0,3,1,1,2006,2023,2018,2018,2020,error,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","2016,2017,2018,2019,2020","2018,2019,2020,2021,2022,2023",210,42,63,income_region_summary,"[2006, 2018]",False,"Region-varying AC/proxy signals are derived from train-window income/RPCYD summaries: income level, recent income level, and income growth signal.",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\falsification_noise_proxy_fullspan_k3\falsification_noise_proxy_fullspan_k3_cmdl_seed0\summary.json,14.167635875140505,3.7399159863827722,0.0,0.0,0.0,0.0,0.0,0.0,2.2029857635498047,0.2011043883952872,-0.34935064935064936,0.5220779220779221,0.5015172958374023,0.7889357132357413,0.6666666666666666,0.32866901820374866,0.10361198014017681,0.0,2.1015276687456734,verify_smoke,falsification_noise_proxy_fullspan_k3,falsification,fullspan_region_proxy,noise_proxy_null,cmdl,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\falsification_noise_proxy_fullspan_k3,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\falsification_noise_proxy_fullspan_k3\falsification_noise_proxy_fullspan_k3_cmdl_seed0,noise,32,0.05,1.0,0.0,,,primary_or_reference,"{""mode"": ""identity"", ""uses_target_column"": false}",CMDL
falsification_proxy_shuffle_fullspan_k3_cmdl_seed0,fullspan_region_proxy,cmdl,none,single_fullspan_region_proxy,0,3,1,1,2006,2023,2018,2018,2020,error,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","2016,2017,2018,2019,2020","2018,2019,2020,2021,2022,2023",210,42,63,income_region_summary,"[2006, 2018]",False,"Region-varying AC/proxy signals are derived from train-window income/RPCYD summaries: income level, recent income level, and income growth signal.",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\falsification_proxy_shuffle_fullspan_k3\falsification_proxy_shuffle_fullspan_k3_cmdl_seed0\summary.json,14.17047977536082,3.7402356404160697,0.0,0.0,0.0,0.0,0.0,0.0,2.2710583209991455,0.19282393938672124,0.32857142857142857,0.7493506493506493,0.5207462310791016,0.8327691799398338,0.5238095238095238,0.21645829059810365,0.03385468374915057,0.0,2.0984838002437805,verify_smoke,falsification_proxy_shuffle_fullspan_k3,falsification,fullspan_region_proxy,proxy_shuffle_null,cmdl,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\falsification_proxy_shuffle_fullspan_k3,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\falsification_proxy_shuffle_fullspan_k3\falsification_proxy_shuffle_fullspan_k3_cmdl_seed0,shuffle,32,0.05,1.0,0.0,,,primary_or_reference,"{""mode"": ""identity"", ""uses_target_column"": false}",CMDL
feature_subset_no_per_capita_overlap_k2_cmdl_seed0,overlap_region_proxy,cmdl,none,multiseq_overlap_no_per_capita_region_proxy,0,2,4,1,2019,2023,2021,2021,2022,error,"2019,2020,2021","2020,2021,2022","2021,2022,2023",21,21,21,formal_region_summary,"[2019, 2021]",False,"Region-varying AC/proxy signals are derived from train-window formal sequence summaries: formal income level, formalization ratio, and formal capacity signal.",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\feature_subset_no_per_capita_overlap_k2\feature_subset_no_per_capita_overlap_k2_cmdl_seed0\summary.json,37.07891831995231,6.071909100526855,0.0,0.0,0.0,0.0,0.0,0.0,1.8181333541870117,4.531091031977211e-06,-0.0,-0.0,1.33514404296875e-05,0.4742122315708911,1.0,0.07871335321170476,0.1159167590386122,0.0,1.4619723844364187,verify_smoke,feature_subset_no_per_capita_overlap_k2,feature_subset,overlap_region_proxy,no_per_capita_multiseq_sensitivity,cmdl,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\feature_subset_no_per_capita_overlap_k2,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\feature_subset_no_per_capita_overlap_k2\feature_subset_no_per_capita_overlap_k2_cmdl_seed0,none,32,0.05,1.0,0.0,,,overlap_feature_subset,"{""mode"": ""identity"", ""uses_target_column"": false}",CMDL
feature_subset_no_per_capita_overlap_k2_plain_lstm_seed0,overlap_region_proxy,plain_lstm,none,multiseq_overlap_no_per_capita_region_proxy,0,2,4,1,2019,2023,2021,2021,2022,error,"2019,2020,2021","2020,2021,2022","2021,2022,2023",21,21,21,formal_region_summary,"[2019, 2021]",False,"Region-varying AC/proxy signals are derived from train-window formal sequence summaries: formal income level, formalization ratio, and formal capacity signal.",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\feature_subset_no_per_capita_overlap_k2\feature_subset_no_per_capita_overlap_k2_plain_lstm_seed0\summary.json,41.844953860625175,6.448074039958772,0.0,0.0,0.0,0.0,0.0,0.0,1.5715807676315308,0.17024208903691723,-0.21797080441577862,-0.020849381291944042,,0.60146692683306,0.8095238095238095,,,0.0,1.4619723844364187,verify_smoke,feature_subset_no_per_capita_overlap_k2,feature_subset,overlap_region_proxy,no_per_capita_multiseq_sensitivity,plain_lstm,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\feature_subset_no_per_capita_overlap_k2,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\feature_subset_no_per_capita_overlap_k2\feature_subset_no_per_capita_overlap_k2_plain_lstm_seed0,none,32,0.05,1.0,0.0,,,overlap_feature_subset,"{""mode"": ""identity"", ""uses_target_column"": false}",Plain LSTM
feature_subset_pca1_overlap_k2_cmdl_seed0,overlap_region_proxy,cmdl,none,multiseq_overlap_pca1_region_proxy,0,2,1,1,2019,2023,2021,2021,2022,error,"2019,2020,2021","2020,2021,2022","2021,2022,2023",21,21,21,formal_region_summary,"[2019, 2021]",False,"Region-varying AC/proxy signals are derived from train-window formal sequence summaries: formal income level, formalization ratio, and formal capacity signal.",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\feature_subset_pca1_overlap_k2\feature_subset_pca1_overlap_k2_cmdl_seed0\summary.json,29.863344229666048,5.451432675123215,0.0,0.0,0.0,0.0,0.0,0.0,1.8168429136276245,4.3773763224476135e-05,-0.01038961038961039,0.08051948051948052,7.045269012451172e-05,0.4761469945487551,1.0,0.13307112271779842,0.04510982499869365,0.0,1.4135703981980938,verify_smoke,feature_subset_pca1_overlap_k2,feature_subset,overlap_region_proxy,train_window_pca1_sensitivity,cmdl,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\feature_subset_pca1_overlap_k2,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\feature_subset_pca1_overlap_k2\feature_subset_pca1_overlap_k2_cmdl_seed0,none,32,0.05,1.0,0.0,,,overlap_feature_subset_compressed,"{""mode"": ""train_window_pca1"", ""source_columns"": [""x_seq_rpcyd_total_income"", ""x_seq_rydgdp_disposable_income"", ""x_seq_rydgdp_disposable_income_per_capita"", ""x_seq_rydgdp_grdp"", ""x_seq_rydgdp_grdp_per_capita"", ""x_seq_rydgdp_ratio""], ""output_column"": ""x_seq_multiseq_pca1"", ""fit_window"": [2019, 2021], ""uses_target_column"": false, ""weights"": {""x_seq_rpcyd_total_income"": 0.4121027107470769, ""x_seq_rydgdp_disposable_income"": 0.41426656818442287, ""x_seq_rydgdp_disposable_income_per_capita"": 0.4137214619335338, ""x_seq_rydgdp_grdp"": 0.4261807066219023, ""x_seq_rydgdp_grdp_per_capita"": 0.43190479172371155, ""x_seq_rydgdp_ratio"": -0.34527869092161684}}",CMDL
feature_subset_pca1_overlap_k2_plain_lstm_seed0,overlap_region_proxy,plain_lstm,none,multiseq_overlap_pca1_region_proxy,0,2,1,1,2019,2023,2021,2021,2022,error,"2019,2020,2021","2020,2021,2022","2021,2022,2023",21,21,21,formal_region_summary,"[2019, 2021]",False,"Region-varying AC/proxy signals are derived from train-window formal sequence summaries: formal income level, formalization ratio, and formal capacity signal.",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\feature_subset_pca1_overlap_k2\feature_subset_pca1_overlap_k2_plain_lstm_seed0\summary.json,40.53332151912,6.348797970052276,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,,,,0.6931471805599453,1.0,,,0.0,1.4135703981980938,verify_smoke,feature_subset_pca1_overlap_k2,feature_subset,overlap_region_proxy,train_window_pca1_sensitivity,plain_lstm,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\feature_subset_pca1_overlap_k2,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\feature_subset_pca1_overlap_k2\feature_subset_pca1_overlap_k2_plain_lstm_seed0,none,32,0.05,1.0,0.0,,,overlap_feature_subset_compressed,"{""mode"": ""train_window_pca1"", ""source_columns"": [""x_seq_rpcyd_total_income"", ""x_seq_rydgdp_disposable_income"", ""x_seq_rydgdp_disposable_income_per_capita"", ""x_seq_rydgdp_grdp"", ""x_seq_rydgdp_grdp_per_capita"", ""x_seq_rydgdp_ratio""], ""output_column"": ""x_seq_multiseq_pca1"", ""fit_window"": [2019, 2021], ""uses_target_column"": false, ""weights"": {""x_seq_rpcyd_total_income"": 0.4121027107470769, ""x_seq_rydgdp_disposable_income"": 0.41426656818442287, ""x_seq_rydgdp_disposable_income_per_capita"": 0.4137214619335338, ""x_seq_rydgdp_grdp"": 0.4261807066219023, ""x_seq_rydgdp_grdp_per_capita"": 0.43190479172371155, ""x_seq_rydgdp_ratio"": -0.34527869092161684}}",Plain LSTM
feature_subset_rpcyd_fullspan_k3_cmdl_seed0,fullspan_region_proxy,cmdl,none,rpcyd_fullspan_region_proxy,0,3,1,1,2006,2023,2018,2018,2020,error,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","2016,2017,2018,2019,2020","2018,2019,2020,2021,2022,2023",210,42,63,income_region_summary,"[2006, 2018]",False,"Region-varying AC/proxy signals are derived from train-window income/RPCYD summaries: income level, recent income level, and income growth signal.",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\feature_subset_rpcyd_fullspan_k3\feature_subset_rpcyd_fullspan_k3_cmdl_seed0\summary.json,14.171819935976755,3.740428554633307,0.0,0.0,0.0,0.0,0.0,0.0,2.271327495574951,0.1913565399802221,0.32857142857142857,0.7493506493506493,0.5182349681854248,0.8339867944203563,0.5238095238095238,0.2136398265340608,0.03122970658615898,0.0,2.0957197433912333,verify_smoke,feature_subset_rpcyd_fullspan_k3,feature_subset,fullspan_region_proxy,rpcyd_only_fullspan_sensitivity,cmdl,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\feature_subset_rpcyd_fullspan_k3,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\feature_subset_rpcyd_fullspan_k3\feature_subset_rpcyd_fullspan_k3_cmdl_seed0,none,32,0.05,1.0,0.0,,,fullspan_rpcyd_sensitivity,"{""mode"": ""identity"", ""uses_target_column"": false}",CMDL
feature_subset_rpcyd_fullspan_k3_plain_lstm_seed0,fullspan_region_proxy,plain_lstm,none,rpcyd_fullspan_region_proxy,0,3,1,1,2006,2023,2018,2018,2020,error,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","2016,2017,2018,2019,2020","2018,2019,2020,2021,2022,2023",210,42,63,income_region_summary,"[2006, 2018]",False,"Region-varying AC/proxy signals are derived from train-window income/RPCYD summaries: income level, recent income level, and income growth signal.",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\feature_subset_rpcyd_fullspan_k3\feature_subset_rpcyd_fullspan_k3_plain_lstm_seed0\summary.json,9.222490486370365,2.981170939665938,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,1.0986122916069843,1.0,,,0.0,2.0957197433912333,verify_smoke,feature_subset_rpcyd_fullspan_k3,feature_subset,fullspan_region_proxy,rpcyd_only_fullspan_sensitivity,plain_lstm,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\feature_subset_rpcyd_fullspan_k3,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\feature_subset_rpcyd_fullspan_k3\feature_subset_rpcyd_fullspan_k3_plain_lstm_seed0,none,32,0.05,1.0,0.0,,,fullspan_rpcyd_sensitivity,"{""mode"": ""identity"", ""uses_target_column"": false}",Plain LSTM
feature_subset_rpcyd_overlap_k2_cmdl_seed0,overlap_region_proxy,cmdl,none,rpcyd_overlap_region_proxy,0,2,1,1,2019,2023,2021,2021,2022,error,"2019,2020,2021","2020,2021,2022","2021,2022,2023",21,21,21,formal_region_summary,"[2019, 2021]",False,"Region-varying AC/proxy signals are derived from train-window formal sequence summaries: formal income level, formalization ratio, and formal capacity signal.",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\feature_subset_rpcyd_overlap_k2\feature_subset_rpcyd_overlap_k2_cmdl_seed0\summary.json,29.59657159822333,5.4253531240281605,0.0,0.0,0.0,0.0,0.0,0.0,1.8168408870697021,2.8818598319384042e-05,-0.4514452982495545,-0.7599870488517679,7.76052474975586e-05,0.47615024294257324,1.0,0.05969686354552602,0.08410699894410367,0.0,1.4712622703324116,verify_smoke,feature_subset_rpcyd_overlap_k2,feature_subset,overlap_region_proxy,rpcyd_only_overlap_sensitivity,cmdl,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\feature_subset_rpcyd_overlap_k2,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\feature_subset_rpcyd_overlap_k2\feature_subset_rpcyd_overlap_k2_cmdl_seed0,none,32,0.05,1.0,0.0,,,overlap_feature_subset,"{""mode"": ""identity"", ""uses_target_column"": false}",CMDL
feature_subset_rpcyd_overlap_k2_plain_lstm_seed0,overlap_region_proxy,plain_lstm,none,rpcyd_overlap_region_proxy,0,2,1,1,2019,2023,2021,2021,2022,error,"2019,2020,2021","2020,2021,2022","2021,2022,2023",21,21,21,formal_region_summary,"[2019, 2021]",False,"Region-varying AC/proxy signals are derived from train-window formal sequence summaries: formal income level, formalization ratio, and formal capacity signal.",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\feature_subset_rpcyd_overlap_k2\feature_subset_rpcyd_overlap_k2_plain_lstm_seed0\summary.json,38.37870179905864,6.178241912985132,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,,,,0.6931471805599453,1.0,,,0.0,1.4712622703324116,verify_smoke,feature_subset_rpcyd_overlap_k2,feature_subset,overlap_region_proxy,rpcyd_only_overlap_sensitivity,plain_lstm,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\feature_subset_rpcyd_overlap_k2,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\verify_smoke\feature_subset_rpcyd_overlap_k2\feature_subset_rpcyd_overlap_k2_plain_lstm_seed0,none,32,0.05,1.0,0.0,,,overlap_feature_subset,"{""mode"": ""identity"", ""uses_target_column"": false}",Plain LSTM
